Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
9007,Almond Milk,70,5.14,3.02,3.69,5.99,0.69,3.62,0.91,94
9008,Coconut Milk,50,5.72,4.68,1.8,5.58,0.24,3.72,0.24,143
9009,Soy Milk,61,2.42,0.29,4.45,3.74,0.88,4.04,0.93,132
9010,Oat Milk,49,4.0,1.97,3.69,7.59,0.07,2.16,0.26,123
9011,Cashew Milk,72,7.67,1.27,7.9,4.76,0.25,6.03,0.39,80
9012,Almond Milk,72,2.47,4.52,5.03,6.06,0.95,1.97,0.95,130
9013,Almond Milk,45,4.0,4.03,10.58,4.98,0.05,6.24,0.39,84
9014,Coconut Milk,80,7.11,2.87,4.44,2.44,0.85,7.07,0.07,114
9015,Oat Milk,74,6.7,3.39,10.78,9.11,0.54,7.62,0.12,111
9016,Whole Milk,72,3.61,0.38,9.14,3.98,0.83,4.57,0.37,101
9017,Whole Milk,77,2.21,3.85,8.53,6.16,0.71,3.78,0.8,136
9018,Coconut Milk,51,7.38,3.1,11.8,1.22,0.61,3.48,0.87,98
9019,Coconut Milk,68,4.83,4.32,11.89,2.39,0.64,3.3,0.64,130
9020,Almond Milk,42,6.38,2.2,6.29,3.77,0.23,4.82,0.2,121
9021,Skim Milk,49,0.9,1.06,3.71,0.76,0.99,5.27,0.62,106
9022,Soy Milk,65,2.4,0.56,5.77,8.84,0.47,2.67,0.56,86
9023,Skim Milk,41,0.9,1.19,4.7,5.72,0.37,4.17,0.78,117
9024,2% Milk,52,2.41,1.09,6.84,6.62,0.22,3.55,0.99,137
9025,Cashew Milk,78,5.84,4.15,7.02,1.8,0.76,5.49,0.64,111
9026,2% Milk,80,5.9,4.83,5.09,9.72,0.89,4.66,0.99,85
9027,Whole Milk,40,5.65,2.36,8.79,4.33,0.66,5.45,0.97,136
9028,Soy Milk,52,2.47,3.85,6.92,8.55,0.0,3.93,0.08,123
9029,Whole Milk,80,6.37,0.55,5.95,6.16,0.19,2.58,0.38,98
9030,Oat Milk,68,7.53,4.54,3.13,1.52,0.34,5.16,0.45,150
9031,Skim Milk,78,3.16,2.14,7.03,9.25,0.44,7.36,0.06,126
9032,Cashew Milk,59,2.87,4.89,4.08,5.97,0.63,3.95,0.5,117
9033,2% Milk,54,6.6,3.62,5.57,4.76,0.57,5.89,0.25,141
9034,Skim Milk,51,5.41,2.89,5.22,3.29,0.12,6.42,0.14,87
9035,Soy Milk,44,4.51,1.34,4.06,2.12,0.01,1.46,0.53,150
9036,Almond Milk,60,6.24,3.37,2.74,4.98,0.89,3.03,0.55,149
9037,Whole Milk,51,6.79,0.89,2.82,6.74,0.45,1.82,0.89,100
9038,Whole Milk,45,6.68,0.43,3.3,2.91,0.77,2.61,0.37,95
9039,Cashew Milk,59,1.92,1.24,9.17,5.42,0.15,3.11,0.1,123
9040,Oat Milk,64,4.6,2.77,4.1,6.33,0.18,1.17,0.11,94
9041,Soy Milk,72,1.13,2.92,8.93,6.23,0.86,6.82,0.95,111
9042,2% Milk,75,0.59,0.46,6.03,3.37,0.15,2.13,0.84,95
9043,Oat Milk,45,6.8,1.19,8.36,9.83,0.12,5.77,0.86,136
9044,Cashew Milk,76,0.94,1.14,7.37,5.71,0.52,4.55,0.59,145
9045,Almond Milk,74,2.73,4.59,7.46,4.47,0.47,6.35,0.01,118
9046,Coconut Milk,46,1.68,2.75,7.03,7.49,0.2,5.55,0.61,86
9047,2% Milk,52,2.56,0.7,6.32,5.15,0.76,1.54,0.73,96
9048,Whole Milk,66,4.18,4.0,2.6,9.98,0.63,3.86,0.87,149
9049,Skim Milk,62,1.67,1.48,9.11,6.28,0.79,1.85,0.33,116
9050,Almond Milk,53,2.63,0.96,3.88,2.28,0.24,5.77,0.59,123
9051,Soy Milk,68,1.92,1.2,10.6,5.14,0.62,5.91,0.22,106
9052,Cashew Milk,76,6.43,3.46,2.02,8.89,0.86,5.17,0.09,99
9053,Coconut Milk,68,6.73,0.37,9.32,9.06,0.73,4.32,0.86,92
9054,2% Milk,55,5.53,4.45,4.46,2.34,0.88,1.26,0.8,143
9055,Cashew Milk,46,1.24,1.44,2.15,8.04,0.25,6.53,0.76,80
9056,Skim Milk,55,2.66,2.28,2.7,7.13,0.92,7.04,0.35,111
9057,Almond Milk,78,5.57,4.52,11.34,2.47,0.38,5.15,0.83,83
9058,Oat Milk,75,1.08,3.73,6.49,9.26,0.15,5.28,0.87,136
9059,Skim Milk,48,4.49,1.77,10.5,6.2,0.29,4.7,0.18,145
9060,Whole Milk,62,6.89,0.97,6.64,5.83,0.53,4.82,0.7,108
9061,Almond Milk,68,5.58,0.61,9.0,4.54,0.46,3.44,0.89,149
9062,Almond Milk,64,7.98,3.05,10.41,9.84,0.68,3.5,0.64,130
9063,Coconut Milk,45,6.93,0.67,6.47,9.51,0.53,2.03,0.42,80
9064,Cashew Milk,58,3.48,3.63,6.49,6.63,0.61,1.19,0.07,123
9065,Almond Milk,72,3.94,1.78,10.24,5.32,0.75,4.97,0.94,98
9066,Skim Milk,76,1.62,3.02,11.69,6.7,0.76,3.53,0.76,85
9067,Soy Milk,53,7.98,2.85,9.6,7.85,0.66,1.3,0.36,145
9068,Oat Milk,77,5.7,2.59,4.37,9.55,0.62,4.93,0.12,128
9069,Cashew Milk,67,5.19,3.53,7.47,2.8,1.0,1.79,0.2,94
9070,Whole Milk,57,5.38,2.54,3.71,7.63,0.88,1.69,0.93,129
9071,Cashew Milk,42,1.42,3.32,11.48,8.78,0.78,2.81,0.31,97
9072,Almond Milk,48,3.32,3.91,2.62,3.39,0.38,4.71,0.6,127
9073,Cashew Milk,55,2.34,1.34,1.26,5.07,0.46,3.07,0.08,118
9074,2% Milk,52,5.8,2.99,7.33,0.59,0.92,7.94,0.24,127
9075,Soy Milk,75,2.89,1.2,2.7,7.22,0.76,5.39,0.55,121
9076,Oat Milk,60,1.59,0.17,6.94,8.89,0.23,5.42,0.72,150
9077,Cashew Milk,61,5.71,0.43,5.91,5.74,0.66,1.37,0.41,94
9078,2% Milk,47,0.79,4.35,6.29,3.18,0.02,4.64,0.0,126
9079,Skim Milk,59,5.4,1.41,5.73,4.22,0.27,3.24,0.68,132
9080,Almond Milk,67,4.05,1.77,8.38,3.99,0.38,7.75,0.11,93
9081,Coconut Milk,53,6.52,2.84,4.87,5.4,0.44,2.69,0.91,143
9082,Coconut Milk,53,2.42,3.5,11.05,3.35,0.12,7.03,0.71,134
9083,Skim Milk,60,7.24,2.01,1.71,2.6,0.41,4.87,0.39,88
9084,Oat Milk,49,6.38,4.94,1.73,8.82,0.38,4.54,0.07,141
9085,Cashew Milk,40,2.03,0.21,7.07,2.89,0.49,3.72,0.47,80
9086,Soy Milk,68,5.64,4.89,6.81,5.76,0.31,1.14,0.44,137
9087,Coconut Milk,72,2.54,3.75,4.89,5.0,0.08,2.59,0.18,116
9088,Almond Milk,78,7.76,3.71,6.06,1.08,0.75,7.37,0.99,146
9089,Oat Milk,66,4.82,3.01,10.19,4.29,0.21,5.17,0.73,143
9090,Whole Milk,47,3.87,2.15,11.6,2.42,0.95,7.27,0.07,108
9091,Soy Milk,52,2.09,4.01,4.44,5.98,0.32,2.42,0.33,91
9092,Coconut Milk,73,2.11,1.87,6.2,9.5,0.3,7.25,0.8,133
9093,2% Milk,74,1.97,0.15,10.99,0.85,0.53,5.82,0.17,101
9094,Soy Milk,80,0.76,4.88,11.32,4.88,0.53,7.2,0.81,130
9095,Cashew Milk,79,7.78,4.8,9.5,5.6,0.45,1.81,0.09,98
9096,Soy Milk,69,4.42,3.1,1.77,6.33,0.67,1.19,0.39,101
9097,Soy Milk,51,7.91,3.06,11.73,3.62,0.79,7.4,0.34,143
9098,Skim Milk,51,3.31,3.66,9.55,5.03,0.09,1.31,0.43,148
9099,Whole Milk,40,2.11,2.91,4.94,9.53,0.43,7.56,0.81,115
9100,Cashew Milk,60,5.33,1.59,11.34,1.51,0.77,4.56,0.48,134
9101,Cashew Milk,40,3.11,4.61,1.99,8.39,0.2,5.28,0.76,102
9102,Whole Milk,64,5.57,2.04,7.75,7.86,0.34,6.35,0.47,150
9103,Whole Milk,70,3.71,3.28,7.12,7.71,0.69,1.75,0.46,123
9104,Skim Milk,43,4.95,2.52,11.01,2.23,0.96,3.31,0.54,112
9105,Coconut Milk,73,1.56,1.95,5.97,0.62,0.02,1.77,0.03,88
9106,Cashew Milk,43,2.37,3.07,8.27,9.98,0.52,3.4,0.51,127
9107,2% Milk,40,6.77,3.29,6.91,5.98,0.02,3.37,0.02,108
9108,Whole Milk,68,3.25,2.74,3.83,6.92,0.42,3.28,0.36,85
9109,Whole Milk,66,3.21,0.92,6.94,6.75,0.07,4.28,0.34,145
9110,Cashew Milk,60,4.94,4.93,4.57,9.01,0.14,7.68,0.36,114
9111,2% Milk,72,2.98,4.12,8.27,2.03,0.11,7.27,0.33,84
9112,Almond Milk,75,2.74,3.46,6.84,1.63,0.42,5.04,0.81,108
9113,2% Milk,73,2.16,2.69,6.83,0.74,0.74,1.33,0.16,140
9114,2% Milk,58,7.44,3.86,10.59,2.09,0.16,6.99,0.11,142
9115,Oat Milk,79,1.15,0.76,4.05,0.57,0.07,3.44,0.87,93
9116,Cashew Milk,70,0.83,0.38,9.99,8.44,0.94,7.83,0.82,117
9117,Oat Milk,59,3.0,3.78,8.08,2.51,0.37,2.99,0.57,81
9118,2% Milk,47,0.52,2.76,11.05,8.94,0.25,2.1,0.03,98
9119,Whole Milk,79,2.2,1.97,3.01,1.13,0.75,7.94,0.44,80
9120,Oat Milk,74,2.57,2.39,3.82,7.5,0.64,5.28,0.61,111
9121,Oat Milk,79,5.59,4.25,7.29,6.82,0.71,1.4,0.21,142
9122,Skim Milk,67,3.13,3.8,6.61,2.83,0.93,4.78,0.1,92
9123,Soy Milk,52,4.7,2.1,9.17,5.39,0.69,4.06,0.11,89
9124,Coconut Milk,40,2.78,2.14,5.21,2.27,0.51,1.07,0.8,106
9125,Whole Milk,44,0.56,4.05,1.82,3.19,0.14,1.08,0.2,139
9126,2% Milk,50,4.75,4.2,9.72,8.94,0.36,2.54,0.78,144
9127,Almond Milk,73,4.64,4.64,7.84,6.38,0.11,5.06,0.85,115
9128,Coconut Milk,45,5.25,3.24,10.93,2.94,0.68,6.63,0.1,130
9129,Whole Milk,54,4.99,2.45,3.59,5.98,0.85,7.53,0.8,140
9130,Cashew Milk,63,7.85,4.81,3.62,5.59,0.18,2.16,0.44,144
9131,Coconut Milk,65,5.77,2.52,6.66,0.75,0.61,4.22,0.37,138
9132,Almond Milk,65,3.3,0.49,8.22,2.8,0.66,1.54,0.17,83
9133,Cashew Milk,52,1.22,0.23,2.86,7.92,0.52,6.92,0.05,140
9134,Oat Milk,49,3.45,2.02,3.4,5.62,0.56,7.19,0.93,119
9135,Whole Milk,74,7.29,1.17,1.8,8.83,0.68,3.99,0.89,118
9136,Cashew Milk,69,5.87,2.74,8.82,2.04,0.39,4.3,0.2,93
9137,2% Milk,43,6.79,4.62,6.95,2.64,0.89,4.55,0.84,99
9138,Almond Milk,50,2.67,1.29,8.5,7.16,0.86,3.79,0.2,101
9139,Soy Milk,40,4.75,4.98,2.02,9.2,0.73,1.54,0.0,99
9140,2% Milk,60,0.74,4.64,5.18,4.25,0.31,5.99,0.28,95
9141,2% Milk,71,4.55,1.85,9.23,7.71,0.36,3.09,0.93,122
9142,Soy Milk,52,2.08,1.98,10.2,4.91,0.93,1.89,0.17,139
9143,Soy Milk,60,1.78,0.54,3.47,5.66,0.53,3.62,0.84,96
9144,Coconut Milk,49,6.04,1.58,8.96,8.77,0.44,3.7,0.56,140
9145,Almond Milk,66,2.88,0.38,7.26,2.84,0.46,2.56,0.86,109
9146,Oat Milk,75,0.5,1.77,3.64,2.8,0.65,3.39,0.61,136
9147,Soy Milk,58,5.46,3.92,8.91,3.2,0.47,5.46,0.29,144
9148,2% Milk,75,6.9,3.58,7.47,2.01,0.45,5.89,0.54,133
9149,Coconut Milk,56,7.22,1.49,11.76,2.81,0.61,2.26,0.67,112
9150,Oat Milk,52,3.01,1.23,7.91,9.19,0.29,2.09,0.57,82
9151,Soy Milk,76,3.6,2.42,10.76,7.63,0.56,6.21,0.43,104
9152,Coconut Milk,70,7.69,0.16,3.58,8.03,0.98,4.14,0.96,86
9153,Oat Milk,45,4.36,0.56,7.86,7.25,0.14,7.61,0.8,93
9154,Coconut Milk,56,3.61,0.85,5.79,7.17,0.03,1.43,0.43,92
9155,Oat Milk,77,3.94,2.97,8.64,9.29,0.59,7.08,0.45,100
9156,2% Milk,53,2.08,2.66,9.72,2.69,0.16,7.03,0.09,147
9157,Almond Milk,42,3.31,2.29,8.39,8.89,0.55,1.84,0.31,104
9158,Cashew Milk,63,3.34,4.19,5.51,2.74,0.64,3.85,0.74,129
9159,Cashew Milk,40,2.36,2.24,7.75,6.94,0.01,7.72,0.97,139
9160,Oat Milk,61,1.27,2.11,5.1,2.67,0.11,5.9,0.28,89
9161,Cashew Milk,41,5.11,0.39,3.62,1.3,0.75,7.52,0.65,89
9162,2% Milk,61,6.4,3.1,9.2,4.69,0.72,1.14,0.13,113
9163,2% Milk,75,4.69,3.72,6.2,6.81,0.05,1.87,0.57,110
9164,Coconut Milk,71,2.9,0.46,10.34,8.71,0.81,4.48,0.08,119
9165,Oat Milk,52,7.56,0.99,7.11,7.26,0.61,6.65,0.22,102
9166,Cashew Milk,56,5.75,4.93,6.41,8.89,0.26,7.97,0.43,126
9167,Cashew Milk,57,7.2,2.05,3.41,4.75,0.31,4.46,0.67,85
9168,Cashew Milk,66,3.74,2.69,1.39,8.94,0.08,4.09,0.97,132
9169,Whole Milk,59,2.89,0.92,1.13,2.61,0.9,1.68,0.51,109
9170,Cashew Milk,64,3.33,0.32,11.17,9.46,0.09,4.91,0.84,80
9171,2% Milk,67,3.08,0.42,3.43,3.87,0.65,1.97,0.67,127
9172,Almond Milk,68,3.97,2.8,4.5,4.13,0.21,7.82,0.97,140
9173,Coconut Milk,74,0.72,0.14,4.31,4.48,0.07,1.5,0.07,101
9174,2% Milk,63,1.47,4.99,4.78,5.83,0.12,5.15,0.58,81
9175,Skim Milk,79,6.31,0.39,5.9,8.57,0.09,2.67,0.75,118
9176,Cashew Milk,70,1.7,2.7,3.09,7.19,0.12,6.33,0.43,95
9177,2% Milk,75,3.32,3.53,4.12,1.02,0.3,4.14,0.15,144
9178,Skim Milk,59,5.54,2.75,4.02,5.25,0.13,4.04,0.18,126
9179,Oat Milk,68,6.04,4.42,7.35,1.25,0.52,1.88,0.39,123
9180,Cashew Milk,47,3.07,1.37,3.34,7.2,0.04,4.59,0.02,105
9181,Cashew Milk,48,7.34,4.62,6.57,3.86,0.08,3.5,0.71,113
9182,Skim Milk,52,7.68,0.24,9.0,0.75,0.01,4.09,0.58,114
9183,Cashew Milk,59,1.15,0.42,3.86,2.44,0.06,2.44,0.31,87
9184,Coconut Milk,65,7.33,0.4,9.06,2.71,0.26,1.94,0.46,94
9185,Cashew Milk,74,4.72,3.01,2.82,3.13,0.85,2.42,0.01,104
9186,Skim Milk,44,6.22,4.13,9.16,9.79,0.34,6.03,0.17,95
9187,Whole Milk,60,5.52,4.02,7.85,9.22,0.91,7.74,0.52,130
9188,Whole Milk,80,6.37,1.59,10.37,1.88,0.19,2.4,0.0,122
9189,Oat Milk,66,3.42,2.62,9.9,7.16,0.96,3.19,0.42,97
9190,Coconut Milk,78,5.23,3.16,5.94,5.17,0.15,1.33,0.27,80
9191,Coconut Milk,61,5.77,2.04,9.28,9.03,0.26,2.47,0.13,91
9192,Almond Milk,66,6.88,2.78,4.62,2.64,0.96,7.21,0.29,119
9193,Oat Milk,60,5.77,1.35,2.22,6.73,0.99,1.05,0.44,143
9194,Almond Milk,57,5.77,1.71,3.42,3.11,0.31,5.17,0.97,129
9195,Skim Milk,55,6.45,3.88,9.36,0.63,0.02,6.18,0.22,87
9196,Oat Milk,64,5.37,1.74,10.78,3.51,0.87,6.47,0.13,126
9197,Soy Milk,64,3.4,2.32,11.25,4.11,0.52,2.34,0.58,96
9198,Oat Milk,51,3.45,2.43,8.85,3.28,0.94,6.99,0.88,123
9199,Soy Milk,46,1.3,4.48,6.61,9.85,0.79,5.35,0.43,123
9200,Skim Milk,44,7.26,1.78,1.57,7.21,0.46,6.3,0.72,150
9201,Oat Milk,55,6.7,4.28,7.61,4.41,0.51,4.27,0.6,106
9202,Oat Milk,56,2.72,3.66,2.86,4.07,0.74,7.72,0.02,131
9203,Soy Milk,79,6.59,1.35,10.44,4.11,0.07,7.06,0.85,97
9204,Skim Milk,71,5.87,3.96,5.63,7.56,0.13,7.96,0.5,117
9205,Coconut Milk,68,7.13,1.87,6.68,4.27,0.36,4.79,0.26,134
9206,Coconut Milk,51,1.0,0.93,1.94,0.9,0.84,5.49,0.25,104
9207,Soy Milk,46,4.79,3.45,5.59,4.59,0.81,2.76,0.64,92
9208,2% Milk,59,3.76,0.88,3.79,9.41,0.58,6.69,0.62,97
9209,Skim Milk,44,5.75,3.53,7.63,6.73,0.08,7.34,0.75,134
9210,Whole Milk,75,7.03,1.07,1.23,9.17,0.89,1.5,0.38,101
9211,Skim Milk,60,6.15,1.53,5.47,1.59,0.37,2.98,0.83,141
9212,Skim Milk,66,1.76,2.22,10.25,6.61,0.81,7.33,0.6,150
9213,2% Milk,47,4.26,3.37,8.33,7.73,0.98,3.66,0.7,102
9214,2% Milk,53,7.17,0.74,6.23,9.01,0.43,2.44,0.33,129
9215,Whole Milk,50,3.42,2.97,5.27,2.23,0.95,4.95,0.49,97
9216,Soy Milk,59,7.81,1.27,9.41,5.61,0.14,7.4,0.08,128
9217,Skim Milk,45,5.73,4.99,1.19,7.97,0.38,2.99,0.01,107
9218,Whole Milk,55,1.09,4.51,7.04,9.81,0.03,2.82,0.33,99
9219,Coconut Milk,55,4.88,1.4,1.14,7.55,0.82,3.86,0.67,149
9220,Cashew Milk,54,2.32,2.7,1.56,8.73,0.84,7.08,0.33,97
9221,2% Milk,57,4.14,2.73,1.07,9.55,0.29,5.65,0.65,149
9222,Almond Milk,71,7.88,4.23,7.08,0.74,0.64,5.55,0.37,110
9223,Oat Milk,60,1.84,2.89,9.57,7.42,0.57,3.01,0.25,121
9224,Whole Milk,76,7.46,0.69,5.82,5.19,0.35,7.34,0.81,142
9225,Whole Milk,52,5.91,3.07,9.61,1.71,0.33,2.75,0.02,150
9226,Coconut Milk,54,5.33,0.58,7.92,6.09,0.02,5.8,0.9,86
9227,Oat Milk,74,7.61,0.78,4.53,4.13,0.25,4.58,0.35,85
9228,Soy Milk,44,7.94,4.09,10.12,5.81,0.27,3.16,0.84,121
9229,Whole Milk,42,7.44,0.52,4.63,7.54,0.79,3.66,0.38,108
9230,Oat Milk,70,1.31,4.39,2.45,4.76,0.09,5.73,0.04,130
9231,Skim Milk,74,5.68,4.74,9.48,8.06,0.35,4.5,0.8,127
9232,Coconut Milk,56,7.07,0.46,9.07,6.95,0.57,1.3,0.41,80
9233,Coconut Milk,80,5.23,3.61,4.93,3.01,0.66,6.86,0.55,92
9234,Oat Milk,50,3.26,1.07,7.1,6.71,0.64,1.34,0.55,109
9235,Soy Milk,53,7.27,3.17,8.95,5.44,0.7,2.32,0.4,112
9236,2% Milk,55,3.09,2.13,11.4,9.79,0.69,6.53,0.08,135
9237,Soy Milk,52,5.17,4.55,5.49,7.44,0.99,3.15,0.09,84
9238,Coconut Milk,75,1.83,3.96,3.45,1.21,0.93,2.18,0.36,143
9239,Cashew Milk,45,2.21,2.73,8.26,1.29,0.49,5.9,0.12,102
9240,Soy Milk,51,5.53,1.16,5.54,4.77,0.58,4.05,0.44,109
9241,Cashew Milk,58,2.97,2.61,10.43,3.85,0.63,2.99,0.38,95
9242,Coconut Milk,79,7.93,1.35,6.5,7.01,0.09,4.67,0.22,95
9243,Coconut Milk,52,6.43,1.24,4.18,2.02,0.1,4.83,0.72,149
9244,Oat Milk,40,2.94,0.45,9.55,9.14,0.5,2.18,0.35,121
9245,Soy Milk,71,6.9,2.42,4.2,7.75,0.39,5.98,0.77,139
9246,2% Milk,53,2.52,3.01,6.88,0.82,0.87,5.19,0.9,137
9247,Coconut Milk,66,1.39,1.79,8.95,4.23,0.84,4.49,0.67,89
9248,Whole Milk,49,3.48,4.54,10.58,7.94,0.67,7.63,0.05,97
9249,Almond Milk,68,6.56,3.4,4.09,6.58,0.89,7.15,0.84,125
9250,Oat Milk,77,6.52,2.08,1.84,5.81,0.31,1.42,0.81,82
9251,Coconut Milk,50,4.66,5.0,9.78,8.6,0.49,2.73,0.78,142
9252,Oat Milk,75,4.47,3.11,11.21,5.85,0.04,2.63,0.4,87
9253,Whole Milk,68,4.73,1.91,2.09,0.64,0.23,1.27,0.94,115
9254,Whole Milk,60,6.58,4.1,8.46,1.98,0.24,5.21,0.34,98
9255,Almond Milk,75,5.21,2.69,2.23,6.97,0.21,7.98,0.93,119
9256,2% Milk,57,4.36,4.35,8.89,4.25,0.14,6.0,0.67,87
9257,Whole Milk,46,6.53,1.05,1.88,5.56,0.94,1.82,0.24,113
9258,2% Milk,48,6.0,2.78,3.73,5.79,0.76,5.23,0.84,113
9259,2% Milk,42,3.0,2.96,1.74,8.46,0.9,4.4,0.78,85
9260,Oat Milk,58,2.88,0.46,10.32,2.88,0.01,3.99,0.16,81
9261,2% Milk,78,3.29,2.63,10.79,3.24,0.26,5.47,0.23,98
9262,Almond Milk,53,3.05,3.79,7.58,7.49,0.1,4.77,0.9,117
9263,Oat Milk,41,7.49,0.53,2.49,1.46,0.88,2.75,0.71,86
9264,Almond Milk,61,7.37,2.13,8.21,3.14,0.22,6.16,0.13,133
9265,Cashew Milk,67,2.75,1.07,3.88,5.91,0.27,4.36,0.37,109
9266,Soy Milk,76,3.5,2.7,6.51,9.88,0.73,7.5,0.31,87
9267,Soy Milk,62,6.44,4.72,1.16,3.28,0.96,2.63,1.0,132
9268,Oat Milk,53,3.76,4.96,4.39,7.56,0.89,3.24,0.42,146
9269,Cashew Milk,47,0.99,1.15,10.34,6.15,0.11,1.84,0.7,134
9270,Coconut Milk,62,7.12,0.26,4.95,3.51,0.75,4.53,0.23,133
9271,Almond Milk,44,5.45,1.51,9.43,3.35,0.02,3.11,0.73,109
9272,Soy Milk,72,5.07,0.68,10.52,6.42,0.44,4.69,0.97,114
9273,2% Milk,49,6.93,1.7,5.95,4.13,0.91,5.51,0.26,108
9274,Oat Milk,55,1.19,3.99,6.74,5.18,0.69,3.2,0.96,143
9275,Almond Milk,61,3.47,4.85,2.15,5.08,0.27,3.82,0.03,113
9276,Soy Milk,73,5.58,2.71,6.25,2.57,0.27,5.39,0.64,100
9277,Cashew Milk,60,5.82,0.83,2.38,9.37,0.81,6.48,0.79,83
9278,Soy Milk,56,0.7,4.07,11.24,8.05,0.1,7.88,0.91,102
9279,Skim Milk,50,2.06,4.86,2.46,4.67,0.02,2.82,0.03,86
9280,Skim Milk,75,3.27,2.64,5.56,3.95,0.31,3.72,0.68,136
9281,Skim Milk,61,4.94,3.96,2.45,0.53,0.83,2.4,0.07,102
9282,2% Milk,57,6.05,1.81,10.1,9.75,0.86,2.59,0.07,87
9283,Whole Milk,55,7.67,1.72,4.0,9.18,0.48,2.46,0.97,127
9284,Almond Milk,54,1.82,2.76,11.87,8.83,0.27,4.09,0.29,150
9285,2% Milk,78,5.22,2.37,9.27,6.71,0.8,6.09,0.2,140
9286,Oat Milk,42,3.58,4.61,11.45,1.97,0.81,1.61,0.04,88
9287,Soy Milk,63,6.24,0.71,3.38,2.55,0.89,3.19,0.23,121
9288,Skim Milk,77,5.36,3.84,9.2,6.78,0.14,6.18,0.98,116
9289,Soy Milk,59,2.6,1.65,1.52,8.68,0.76,7.08,0.36,126
9290,Skim Milk,51,3.1,0.7,10.93,5.0,0.58,4.16,0.39,147
9291,Coconut Milk,45,2.62,1.43,8.91,9.72,0.12,1.19,0.72,109
9292,Skim Milk,59,1.73,0.3,3.67,7.76,0.99,4.86,0.58,119
9293,2% Milk,55,5.6,4.11,6.06,9.45,0.67,5.62,0.32,83
9294,Whole Milk,77,3.32,4.29,10.08,9.55,0.64,4.0,0.06,105
9295,Skim Milk,68,7.23,0.39,10.69,4.19,0.68,1.08,0.79,97
9296,Oat Milk,45,5.05,3.24,4.69,4.62,0.07,2.44,0.15,85
9297,2% Milk,45,6.61,4.98,6.41,9.48,0.58,5.93,0.69,101
9298,Cashew Milk,74,2.4,3.29,10.39,7.24,0.38,5.96,0.56,101
9299,Almond Milk,71,3.46,0.96,6.08,0.92,0.58,6.8,0.35,144
9300,Soy Milk,51,2.12,4.74,2.03,6.21,0.7,4.32,0.33,123
9301,Oat Milk,50,7.29,1.34,5.51,9.36,0.93,7.96,0.53,144
9302,Almond Milk,67,4.76,1.52,10.8,5.85,0.38,2.91,0.53,121
9303,Whole Milk,73,3.24,1.31,6.1,1.46,0.54,5.53,0.15,134
9304,Oat Milk,45,6.08,0.41,1.12,1.29,0.22,1.72,0.2,96
9305,Whole Milk,47,6.06,0.28,2.46,2.06,0.62,5.43,0.76,117
9306,Whole Milk,51,5.65,0.62,7.42,8.89,0.83,5.8,0.21,142
9307,Whole Milk,80,1.06,0.29,5.87,1.71,0.39,4.99,0.12,100
9308,Skim Milk,59,6.33,1.93,4.86,9.29,0.94,6.48,0.18,90
9309,Coconut Milk,68,3.9,0.24,9.15,9.03,0.31,7.22,0.57,132
9310,Almond Milk,61,4.44,2.39,4.82,0.65,0.16,1.58,0.89,128
9311,Skim Milk,56,2.47,2.31,1.61,6.73,0.02,4.26,0.05,133
9312,Skim Milk,74,3.45,3.36,8.7,1.24,0.47,3.42,0.18,86
9313,Coconut Milk,40,7.56,3.72,5.34,0.69,0.67,3.46,0.98,145
9314,2% Milk,43,2.03,3.91,5.49,9.62,0.91,2.81,0.56,84
9315,Skim Milk,57,6.33,4.31,3.59,1.5,0.34,5.95,0.85,124
9316,Almond Milk,72,1.27,4.7,8.8,5.27,0.38,2.98,0.51,96
9317,Skim Milk,80,2.89,0.85,11.31,2.27,0.19,3.4,0.19,138
9318,Skim Milk,69,3.3,1.75,2.77,2.95,0.86,6.3,0.45,111
9319,Skim Milk,73,2.29,2.47,4.08,3.42,0.45,1.53,0.43,146
9320,2% Milk,64,6.52,0.11,7.77,5.29,0.88,6.21,0.66,132
9321,Oat Milk,50,6.58,2.6,11.61,7.06,0.13,4.39,0.94,124
9322,Oat Milk,48,7.91,2.55,7.65,7.69,0.84,2.17,0.61,108
9323,2% Milk,64,4.89,1.7,5.6,8.38,0.21,2.84,0.71,83
9324,Whole Milk,75,5.74,4.14,6.6,2.2,0.54,2.35,0.32,124
9325,Soy Milk,52,3.72,4.38,10.32,3.66,0.35,5.09,0.06,149
9326,Whole Milk,58,1.34,2.7,6.14,4.83,0.5,4.47,0.11,127
9327,Coconut Milk,66,1.7,2.7,8.64,5.39,0.95,1.55,0.64,137
9328,Coconut Milk,75,7.21,4.32,6.29,2.37,0.16,7.72,0.51,84
9329,Almond Milk,80,1.27,1.84,6.37,0.61,0.91,6.1,0.58,119
9330,Whole Milk,41,7.59,3.5,7.07,3.36,1.0,4.86,0.2,115
9331,Skim Milk,79,7.05,4.16,5.63,1.37,0.34,5.17,0.91,105
9332,Skim Milk,79,2.2,1.86,8.19,9.24,0.36,4.88,0.69,133
9333,Oat Milk,61,4.98,2.85,7.04,5.56,0.95,1.93,0.95,112
9334,2% Milk,40,2.29,1.22,4.44,9.45,0.65,6.13,0.73,99
9335,Almond Milk,70,0.94,4.6,9.72,6.44,0.35,6.57,0.15,131
9336,Skim Milk,76,5.03,4.3,5.03,2.19,0.03,2.02,0.97,149
