Id,Product Name,Energy (kcal),Fat Percentage (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
12809,Almond Milk,53,0.92,0.1,11.4,4.75,0.47,7.07,0.25,94
12810,Soy Milk,73,3.74,0.88,8.17,2.27,0.87,4.35,0.77,139
12811,Coconut Milk,49,7.72,1.76,3.72,2.57,0.12,1.72,0.43,109
12812,2% Milk,46,7.86,4.07,5.69,2.77,0.11,4.06,0.2,98
12813,Almond Milk,44,3.33,2.42,2.72,9.86,0.33,7.43,0.91,95
12814,Almond Milk,57,5.27,0.54,6.43,3.23,0.01,4.17,0.57,109
12815,2% Milk,47,4.47,1.09,2.81,5.89,0.63,6.91,0.04,86
12816,Almond Milk,71,6.15,3.48,1.53,9.47,0.94,4.46,0.2,99
12817,Whole Milk,49,1.34,4.53,6.4,4.59,0.86,5.13,0.05,97
12818,Cashew Milk,49,6.31,3.15,11.92,1.99,0.16,6.27,0.44,80
12819,Skim Milk,78,3.15,0.8,3.32,6.52,0.84,5.42,0.16,149
12820,2% Milk,42,1.96,4.84,10.41,9.45,0.63,7.78,0.75,91
12821,Almond Milk,77,6.45,2.84,2.28,9.96,0.93,5.03,0.47,94
12822,Coconut Milk,54,3.09,1.81,7.51,7.81,0.35,2.03,0.51,99
12823,Oat Milk,64,0.88,3.47,8.42,6.38,0.21,1.08,0.06,113
12824,Oat Milk,57,4.84,3.2,11.37,7.82,0.83,2.42,0.23,82
12825,Skim Milk,55,6.51,2.85,4.48,3.52,0.66,3.3,0.86,143
12826,Whole Milk,77,0.89,2.14,1.53,1.25,0.2,3.37,0.12,137
12827,2% Milk,79,7.16,2.27,10.05,1.37,0.6,5.32,0.46,120
12828,Cashew Milk,62,2.59,3.82,3.45,0.88,0.67,2.25,0.66,136
12829,Oat Milk,75,6.05,2.17,6.12,4.07,0.93,1.33,0.29,81
12830,Whole Milk,72,5.53,0.35,6.36,5.03,0.83,4.68,0.73,134
12831,2% Milk,73,5.19,0.61,7.92,3.59,0.22,6.91,0.22,81
12832,Oat Milk,51,2.04,2.69,3.54,3.4,0.61,4.16,0.9,128
12833,Coconut Milk,64,0.78,3.74,8.23,7.16,0.37,6.64,0.78,125
12834,Skim Milk,46,1.61,0.89,11.7,3.17,0.43,2.17,0.43,135
12835,Cashew Milk,44,6.67,2.72,8.8,0.94,0.51,7.72,0.6,98
12836,Whole Milk,63,4.88,0.44,1.2,9.4,0.71,7.01,0.22,124
12837,Whole Milk,66,6.35,1.14,11.94,6.44,0.21,2.61,0.29,140
12838,Soy Milk,79,5.12,3.74,7.15,0.65,0.64,6.21,0.46,126
12839,Cashew Milk,75,6.27,0.52,3.27,4.74,0.61,6.32,0.21,119
12840,Cashew Milk,58,5.12,2.27,5.71,8.41,0.66,1.16,0.09,115
12841,Skim Milk,63,4.83,4.87,1.27,4.24,0.59,6.65,0.53,105
12842,Soy Milk,45,7.87,4.63,9.47,2.73,0.37,4.76,0.55,102
12843,2% Milk,63,0.79,1.02,9.19,7.18,0.06,3.42,0.52,142
12844,Oat Milk,72,2.69,3.03,9.59,8.24,0.0,6.76,0.04,97
12845,Almond Milk,56,2.05,4.31,8.34,0.52,0.68,5.07,0.58,106
12846,Skim Milk,74,1.25,1.39,3.1,6.5,0.62,1.89,0.26,112
12847,Coconut Milk,53,5.95,2.16,8.6,4.12,0.54,1.88,0.77,96
12848,Coconut Milk,74,6.82,0.67,6.06,5.94,0.92,3.21,0.46,85
12849,Skim Milk,77,2.74,0.23,5.36,7.18,0.75,3.45,0.49,86
12850,Coconut Milk,52,7.0,4.7,2.07,4.89,0.43,4.18,0.88,82
12851,Oat Milk,75,6.8,1.75,3.44,8.3,0.73,4.67,0.08,119
12852,Skim Milk,68,0.89,1.69,2.05,1.34,0.69,3.06,0.97,105
12853,Soy Milk,45,3.21,4.02,11.96,2.42,0.0,7.66,0.89,86
12854,Coconut Milk,58,3.86,4.36,2.14,7.52,0.93,1.87,0.44,129
12855,Soy Milk,55,5.93,1.51,8.36,6.89,0.25,6.26,0.26,150
12856,Oat Milk,61,1.26,4.24,3.91,4.42,0.38,3.91,0.52,101
12857,Soy Milk,50,7.74,2.3,3.44,8.03,0.53,7.14,0.25,120
12858,Whole Milk,75,2.32,4.99,9.24,7.74,0.51,7.59,0.23,121
12859,Skim Milk,51,7.98,2.0,8.45,9.7,0.34,6.99,0.23,110
12860,Soy Milk,52,4.49,4.92,6.11,4.35,0.05,3.2,0.72,117
12861,Almond Milk,78,5.36,1.64,1.5,6.83,0.94,3.51,0.88,92
12862,Coconut Milk,62,3.56,4.13,1.29,1.62,0.96,7.83,0.36,117
12863,Soy Milk,46,1.88,4.81,1.29,1.03,0.62,5.09,0.37,144
12864,Soy Milk,56,4.93,3.14,2.24,1.97,0.96,3.23,0.24,114
12865,Skim Milk,56,5.35,3.33,11.55,2.6,0.94,6.09,0.53,128
12866,Skim Milk,57,0.62,3.65,2.62,9.58,0.47,1.13,0.47,99
12867,Coconut Milk,46,2.91,3.85,8.82,4.48,0.4,5.63,0.36,117
12868,2% Milk,72,2.18,4.85,6.46,6.9,0.8,3.22,0.62,90
12869,Skim Milk,53,1.24,3.7,11.49,1.66,0.49,4.41,0.97,90
12870,Whole Milk,66,3.13,3.94,3.73,4.83,0.35,2.88,0.27,83
12871,Almond Milk,44,3.7,4.74,7.73,8.11,0.86,6.28,0.81,150
12872,Soy Milk,57,3.94,3.5,11.78,2.47,0.2,3.43,0.07,131
12873,Almond Milk,74,1.73,1.48,7.44,6.84,0.05,3.87,0.92,134
12874,Coconut Milk,78,3.52,2.75,1.14,2.91,0.29,4.43,0.96,110
12875,2% Milk,62,4.67,2.62,5.86,0.57,0.43,4.96,0.81,89
12876,Whole Milk,43,6.98,3.59,10.86,0.54,0.86,6.89,0.66,142
12877,Soy Milk,50,5.79,1.01,3.63,2.86,0.83,7.2,0.41,121
12878,Almond Milk,65,1.07,2.66,1.25,1.57,0.3,6.91,0.28,92
12879,Almond Milk,72,6.51,3.72,1.65,8.93,0.92,4.81,0.11,139
12880,2% Milk,78,6.62,1.05,11.71,9.45,0.94,2.16,0.31,81
12881,Oat Milk,48,5.04,3.41,2.8,9.98,0.82,5.59,0.66,96
12882,Soy Milk,71,3.37,4.76,8.24,4.88,0.46,2.75,0.41,106
12883,Cashew Milk,78,2.55,1.47,6.94,0.84,0.63,4.04,0.68,91
12884,Oat Milk,70,7.83,0.4,10.37,6.44,0.7,4.7,0.03,101
12885,Coconut Milk,76,4.25,2.41,6.49,4.12,0.01,4.39,0.19,91
12886,Soy Milk,72,1.49,3.05,4.89,0.79,0.6,6.76,0.15,147
12887,2% Milk,62,3.68,3.03,2.49,4.92,0.1,3.78,0.07,135
12888,Skim Milk,53,7.62,3.92,10.54,6.27,0.89,1.28,0.28,100
12889,Almond Milk,61,2.52,1.81,1.77,2.26,0.29,3.92,0.23,145
12890,Oat Milk,51,1.95,4.95,9.45,0.67,0.54,5.39,0.95,84
12891,Whole Milk,63,6.74,2.94,3.07,2.86,0.97,2.77,0.8,146
12892,Coconut Milk,80,2.65,3.9,3.52,4.02,0.12,6.69,0.91,99
12893,Cashew Milk,58,5.59,1.18,11.26,5.33,0.97,4.1,0.93,100
12894,Cashew Milk,67,6.34,0.88,4.61,6.12,0.09,2.04,0.51,110
12895,Soy Milk,70,2.18,0.61,2.92,1.78,0.87,4.77,0.08,106
12896,Cashew Milk,57,6.35,4.32,11.26,0.74,0.67,2.2,0.63,150
12897,Whole Milk,72,6.89,3.64,5.59,2.3,0.82,7.79,0.55,129
12898,Oat Milk,46,7.46,4.48,4.3,4.92,0.99,1.7,0.53,143
12899,2% Milk,72,4.78,4.2,11.35,9.53,0.88,6.75,0.18,145
12900,Skim Milk,72,6.36,4.97,7.87,1.1,0.63,5.93,0.78,114
12901,Cashew Milk,43,2.29,3.43,8.47,7.56,0.98,4.03,0.17,90
12902,Coconut Milk,67,7.97,1.73,10.91,6.57,0.99,3.79,0.66,83
12903,Coconut Milk,69,2.24,1.48,11.69,3.99,0.47,2.26,0.04,120
12904,Whole Milk,55,6.56,3.16,6.06,1.88,0.97,2.14,0.5,88
12905,Cashew Milk,46,5.0,4.93,5.31,8.19,0.83,3.25,0.9,143
12906,Cashew Milk,60,3.65,1.0,4.6,5.23,0.04,3.78,0.37,94
12907,Soy Milk,62,5.87,2.62,6.01,6.06,0.69,4.9,0.46,131
12908,Oat Milk,54,3.46,0.32,8.48,3.09,0.41,7.8,0.85,134
12909,Coconut Milk,44,3.17,4.86,10.73,1.97,0.03,7.79,0.62,85
12910,Soy Milk,41,5.25,4.23,10.6,5.03,0.84,4.17,0.37,107
12911,Oat Milk,51,6.03,4.95,8.98,6.3,0.5,7.06,0.88,82
12912,Skim Milk,58,2.04,0.93,1.52,3.35,0.69,5.98,0.96,140
12913,Soy Milk,80,2.02,2.98,3.48,5.73,0.97,2.89,0.07,87
12914,Oat Milk,76,7.08,1.25,6.15,5.17,0.43,1.79,0.18,101
12915,Whole Milk,42,3.55,0.49,6.86,7.34,0.99,6.56,0.23,108
12916,2% Milk,56,6.36,1.57,11.7,3.58,0.81,2.29,0.32,130
12917,Skim Milk,75,1.9,2.52,7.7,8.04,0.58,2.77,0.72,93
12918,Oat Milk,59,5.75,4.87,6.22,3.0,0.63,7.18,0.32,128
12919,Oat Milk,43,5.62,0.63,1.05,8.49,0.51,4.67,0.02,125
12920,Cashew Milk,59,0.92,2.37,10.95,5.1,0.17,6.24,0.05,127
12921,Almond Milk,65,5.66,3.41,1.31,4.51,0.95,4.32,0.55,88
12922,Skim Milk,67,6.06,3.03,7.27,1.64,0.98,6.94,0.78,97
12923,Cashew Milk,49,2.27,1.38,10.03,1.84,0.02,4.54,0.66,127
12924,Almond Milk,73,4.17,4.89,7.44,6.31,0.25,5.99,0.37,136
12925,Coconut Milk,73,2.27,1.19,1.76,8.82,0.92,4.13,0.32,99
12926,Oat Milk,60,5.49,4.85,9.62,5.28,0.64,5.74,0.25,109
12927,Coconut Milk,44,5.43,4.32,6.09,5.86,0.4,2.33,0.69,88
12928,Cashew Milk,57,4.97,4.78,5.67,4.07,0.42,7.26,0.74,96
12929,Almond Milk,55,6.6,0.19,9.4,2.52,0.72,2.02,0.88,144
12930,Soy Milk,50,2.55,4.36,5.8,8.02,0.53,6.37,0.76,84
12931,Skim Milk,59,5.78,2.44,2.34,2.0,0.06,6.03,1.0,115
12932,Oat Milk,80,2.37,4.38,11.79,7.64,0.79,7.41,0.17,146
12933,Oat Milk,44,4.55,3.97,6.42,6.01,0.19,2.32,0.83,81
12934,Skim Milk,61,1.77,3.06,9.48,6.46,0.93,7.41,0.19,132
12935,Oat Milk,48,4.46,2.4,2.97,7.9,0.17,3.17,0.23,115
12936,Cashew Milk,58,1.87,0.38,7.29,1.05,0.14,4.1,0.82,135
12937,Coconut Milk,75,2.68,4.49,7.14,2.85,0.65,3.34,0.19,97
12938,Whole Milk,76,0.74,3.53,3.03,4.91,0.04,4.8,0.19,140
12939,Skim Milk,79,3.61,0.66,1.21,5.64,0.67,7.5,0.14,112
12940,Oat Milk,43,6.79,1.52,7.8,7.96,0.71,1.24,0.91,142
12941,2% Milk,70,7.64,1.46,7.23,5.14,0.48,3.93,0.04,131
12942,Whole Milk,53,5.26,1.07,1.65,8.29,0.24,2.0,0.41,80
12943,Coconut Milk,73,0.99,1.73,4.68,5.07,0.86,5.05,0.3,86
12944,Oat Milk,62,4.98,3.32,2.82,8.96,0.59,1.28,0.69,142
12945,Almond Milk,61,3.71,1.47,4.64,5.13,0.75,6.4,0.97,88
12946,Whole Milk,50,2.91,2.09,6.82,5.36,0.74,2.21,0.23,86
12947,Almond Milk,71,6.92,0.82,3.84,1.77,0.1,6.89,0.52,131
12948,Whole Milk,58,7.82,1.8,8.07,9.94,0.96,3.64,0.23,103
12949,Almond Milk,54,6.85,3.88,1.72,5.97,0.36,3.92,0.53,146
12950,Almond Milk,48,3.87,0.25,1.7,1.06,0.8,6.59,0.81,93
12951,2% Milk,73,1.6,0.31,2.56,8.31,0.57,3.74,0.97,141
12952,Whole Milk,65,0.85,3.66,6.29,5.41,0.56,3.77,0.52,149
12953,Almond Milk,74,1.55,0.18,3.7,0.89,0.3,6.84,0.07,108
12954,Soy Milk,72,1.55,3.05,4.91,3.55,0.51,1.14,0.29,86
12955,Cashew Milk,73,1.97,3.17,2.94,9.45,0.02,4.61,0.47,95
12956,Soy Milk,40,1.21,4.75,9.45,5.76,0.84,7.46,0.75,138
12957,Whole Milk,49,4.74,2.96,3.1,7.96,0.87,6.11,0.75,80
12958,Almond Milk,67,5.04,0.53,2.07,3.96,0.92,4.32,0.97,135
12959,Soy Milk,69,1.23,3.44,10.19,4.19,0.3,3.11,0.55,89
12960,Cashew Milk,46,6.28,0.29,5.02,6.66,0.96,4.23,0.89,97
12961,2% Milk,63,4.3,2.91,2.57,5.04,0.05,7.17,0.93,82
12962,Whole Milk,40,1.09,0.69,10.36,2.62,0.13,6.92,0.61,97
12963,Skim Milk,50,3.89,2.46,3.33,6.05,0.51,2.01,0.42,144
12964,Skim Milk,51,6.55,2.47,4.93,8.6,0.07,5.89,0.9,134
12965,Coconut Milk,76,3.42,0.59,4.28,3.81,0.01,2.39,0.17,95
12966,Almond Milk,72,5.68,1.92,2.74,6.14,0.15,7.27,0.92,117
12967,Whole Milk,53,1.67,0.4,3.2,1.49,0.09,2.46,0.11,94
12968,Skim Milk,73,6.58,4.64,11.5,8.03,0.83,6.45,0.17,138
12969,Oat Milk,44,6.91,0.77,10.32,6.24,0.21,7.29,0.87,131
12970,Skim Milk,66,7.06,4.67,3.89,5.88,0.39,3.21,0.4,106
12971,Coconut Milk,42,6.16,0.35,8.35,6.66,0.06,2.58,0.78,135
12972,Whole Milk,52,3.62,3.92,9.54,8.12,0.97,7.15,0.48,144
12973,Oat Milk,75,5.73,3.56,9.06,3.73,0.11,3.55,0.39,85
12974,Oat Milk,69,6.85,1.22,2.51,0.55,0.15,2.86,0.02,102
12975,Skim Milk,57,0.79,0.9,11.6,9.7,0.43,7.23,0.39,126
12976,Soy Milk,65,5.11,4.86,4.83,8.11,0.49,6.23,0.88,132
12977,2% Milk,45,3.05,4.0,5.21,0.77,0.93,2.39,0.73,81
12978,Coconut Milk,67,4.65,4.78,8.84,4.39,0.15,3.3,0.62,131
12979,Oat Milk,74,6.85,3.48,5.34,4.22,0.69,1.54,0.96,145
12980,Oat Milk,74,2.82,1.87,9.55,4.52,0.87,1.64,0.28,129
12981,Oat Milk,71,5.56,4.65,10.28,1.36,0.05,1.52,0.72,119
12982,Soy Milk,52,4.6,0.2,3.4,5.02,0.69,1.75,0.5,107
12983,Soy Milk,80,1.53,1.59,3.82,7.54,0.5,4.84,0.01,146
12984,2% Milk,79,6.78,0.42,1.25,0.8,0.42,7.3,0.95,114
12985,Coconut Milk,67,5.77,4.7,9.26,4.94,0.75,7.48,0.58,87
12986,Coconut Milk,50,0.99,1.34,3.9,3.87,0.57,1.32,0.21,103
12987,Cashew Milk,70,7.52,2.13,5.33,3.58,0.04,6.16,0.75,119
12988,Skim Milk,59,6.46,3.33,1.16,2.99,0.59,7.48,0.38,96
12989,Soy Milk,54,1.55,0.88,7.71,5.76,0.7,7.92,0.89,147
12990,Whole Milk,40,7.81,0.76,7.47,5.47,0.08,7.52,0.95,102
12991,Oat Milk,48,2.52,4.33,3.11,6.81,0.66,2.38,0.6,104
12992,Almond Milk,58,6.92,2.68,7.07,2.52,0.95,1.48,0.85,148
12993,Cashew Milk,54,2.11,2.75,10.54,5.49,0.1,7.43,0.53,107
12994,2% Milk,73,2.36,2.03,5.3,1.54,0.56,3.85,0.98,101
12995,Whole Milk,46,7.53,0.73,6.28,5.84,0.28,6.05,0.9,118
12996,Oat Milk,80,7.69,0.71,10.87,1.9,0.7,5.08,0.53,132
12997,Coconut Milk,61,8.0,3.07,1.79,1.11,0.95,5.73,0.79,115
12998,Almond Milk,49,1.21,4.27,10.35,1.63,0.77,5.99,0.57,98
12999,Oat Milk,63,6.75,3.76,8.49,2.18,0.93,1.33,0.32,119
13000,Skim Milk,64,5.33,4.24,10.53,3.88,0.15,3.85,0.63,89
13001,Soy Milk,70,1.47,4.79,3.16,9.12,0.56,5.69,0.93,142
13002,Oat Milk,44,7.99,3.05,7.89,5.2,0.66,4.07,0.82,102
13003,Coconut Milk,68,7.8,3.15,11.99,1.59,0.04,5.34,0.56,92
13004,2% Milk,72,0.89,2.68,2.85,3.65,0.37,2.15,0.46,115
13005,2% Milk,53,6.68,3.09,10.76,2.69,0.15,2.43,0.43,136
13006,Oat Milk,62,1.87,1.42,8.7,5.66,0.31,3.44,0.18,131
13007,Soy Milk,65,3.44,3.27,2.75,1.92,0.13,4.22,0.01,92
13008,Skim Milk,41,2.04,2.55,4.64,1.07,0.46,2.25,0.04,141
13009,Cashew Milk,50,4.55,2.42,1.64,5.22,0.22,5.34,0.76,83
13010,Oat Milk,42,4.41,0.68,11.34,1.39,0.96,4.79,0.53,119
13011,Coconut Milk,62,2.85,0.32,3.57,4.93,0.05,6.52,0.08,93
13012,2% Milk,57,3.35,2.8,10.14,2.88,0.78,3.61,0.59,93
13013,Coconut Milk,67,6.49,4.48,5.22,1.47,0.25,6.16,0.63,120
13014,Almond Milk,79,5.46,0.84,2.43,4.91,0.19,5.13,0.6,131
13015,Oat Milk,51,3.51,4.42,11.84,4.15,0.45,7.17,0.29,109
13016,2% Milk,64,2.09,3.37,2.05,1.61,0.58,3.3,0.36,107
13017,Oat Milk,71,6.08,2.95,9.29,7.12,0.46,5.4,0.55,134
13018,2% Milk,59,3.22,3.37,10.18,6.46,0.86,2.15,0.51,129
13019,Whole Milk,44,2.12,1.17,5.2,4.18,0.83,4.07,0.91,82
13020,Soy Milk,68,0.93,2.29,7.27,9.8,0.5,3.8,0.7,136
13021,Oat Milk,51,0.65,0.61,3.66,5.46,0.94,5.21,0.49,96
13022,Cashew Milk,42,1.44,2.4,1.4,6.36,0.15,1.08,0.62,99
13023,Oat Milk,62,7.98,4.86,2.97,4.09,0.62,5.69,0.36,139
13024,Soy Milk,65,0.99,0.8,4.89,6.51,0.05,5.17,0.49,146
13025,Almond Milk,73,5.27,3.35,4.93,0.82,0.36,7.61,0.53,122
13026,Whole Milk,74,7.96,3.91,7.99,7.6,0.25,1.47,0.11,108
13027,Skim Milk,66,4.96,3.29,2.31,3.38,0.18,3.03,0.89,140
13028,Almond Milk,76,7.69,3.6,7.38,1.36,0.61,6.9,0.32,142
13029,Coconut Milk,59,7.45,4.52,10.18,7.8,0.64,2.4,0.53,128
13030,Coconut Milk,68,2.99,0.65,11.77,8.23,0.95,6.95,0.41,80
13031,Skim Milk,76,6.86,2.26,9.23,8.21,0.27,1.31,0.62,149
13032,Cashew Milk,67,6.97,4.49,5.97,2.78,0.98,5.77,0.25,106
13033,Soy Milk,42,7.65,4.04,8.72,1.34,0.94,4.57,0.72,112
13034,2% Milk,60,4.69,3.56,9.23,9.25,0.56,7.11,0.98,100
13035,2% Milk,45,2.8,2.25,4.84,0.96,0.32,3.43,0.6,108
13036,2% Milk,63,5.08,4.24,4.02,8.09,0.56,2.68,0.82,122
13037,Oat Milk,53,6.25,2.21,10.74,6.49,0.28,6.87,0.75,141
13038,2% Milk,75,6.78,2.89,3.23,4.13,0.47,3.64,0.41,88
13039,2% Milk,66,3.62,3.21,6.48,7.96,0.98,2.08,0.82,124
13040,Coconut Milk,77,4.79,2.97,4.13,6.05,0.46,7.9,0.92,140
13041,Soy Milk,61,5.86,4.14,2.52,7.32,0.66,5.01,0.59,141
13042,Soy Milk,64,7.16,2.23,2.26,5.24,0.11,3.9,0.09,91
13043,Oat Milk,62,6.9,3.58,10.0,8.77,0.54,1.12,0.38,114
13044,Oat Milk,63,7.95,4.55,5.07,1.77,0.32,3.99,0.69,104
13045,Whole Milk,77,5.32,3.96,4.88,4.08,0.61,3.23,0.41,98
13046,Coconut Milk,80,1.4,1.09,2.92,4.91,0.74,7.03,0.28,122
13047,Skim Milk,40,5.02,2.46,8.93,1.25,0.63,4.28,0.0,115
13048,Oat Milk,47,4.78,3.78,3.7,0.63,0.62,4.09,0.99,87
13049,Cashew Milk,48,6.47,2.52,10.22,6.6,0.09,5.13,0.82,87
13050,Almond Milk,63,4.28,1.49,10.6,8.94,0.97,1.44,0.39,132
13051,2% Milk,43,7.09,2.28,3.39,6.75,0.61,5.66,0.55,121
13052,Oat Milk,61,3.77,3.91,8.09,5.77,0.17,3.81,0.17,117
13053,Oat Milk,61,6.94,3.95,1.18,4.37,0.59,5.63,0.94,96
13054,Oat Milk,80,0.58,4.15,9.49,1.06,0.97,4.81,0.82,143
13055,Skim Milk,56,7.13,2.95,4.97,6.72,0.96,3.06,0.56,93
13056,Almond Milk,77,2.5,1.06,6.68,8.05,0.53,7.44,0.93,150
13057,Cashew Milk,61,7.62,2.82,7.44,4.63,0.43,3.68,0.0,138
13058,Coconut Milk,41,1.0,2.88,11.27,9.0,0.03,1.84,0.59,148
13059,Cashew Milk,40,5.02,1.35,9.23,8.15,0.49,2.05,0.07,116
13060,2% Milk,58,7.22,1.34,1.76,6.67,0.34,2.91,0.04,119
13061,2% Milk,75,4.03,0.47,6.84,2.29,0.48,7.41,0.11,97
13062,Coconut Milk,52,5.86,3.48,4.06,3.02,0.87,1.08,0.23,132
13063,Almond Milk,78,4.69,1.36,6.78,3.28,0.99,1.36,0.78,110
13064,Whole Milk,61,1.52,3.21,11.01,6.53,0.34,3.64,0.84,126
13065,Whole Milk,68,4.28,1.68,2.34,8.42,0.27,6.82,0.49,104
13066,Soy Milk,71,7.08,3.89,11.38,8.64,0.91,5.22,0.03,104
13067,Cashew Milk,51,4.75,4.22,9.21,1.8,0.51,4.39,0.84,81
13068,Coconut Milk,56,5.15,3.18,9.2,5.4,0.09,4.46,0.2,117
13069,Soy Milk,44,1.94,0.78,9.68,2.33,0.86,4.3,0.48,90
13070,Whole Milk,63,7.01,2.09,11.23,1.12,0.4,2.26,0.97,143
13071,Cashew Milk,68,5.37,2.11,1.04,4.47,0.01,1.46,0.98,139
13072,2% Milk,69,2.35,1.93,11.46,9.78,0.49,4.53,0.51,89
13073,Almond Milk,43,5.44,1.01,9.93,4.42,0.89,3.87,0.47,124
13074,2% Milk,60,6.68,2.16,5.85,3.93,0.38,7.18,0.57,135
13075,Almond Milk,79,1.94,0.97,3.29,3.33,0.97,4.64,0.15,147
13076,Soy Milk,49,1.38,0.42,9.63,8.0,0.07,6.57,0.88,150
13077,Skim Milk,46,7.46,4.76,1.75,5.53,0.58,3.55,0.53,112
13078,Skim Milk,68,6.9,1.74,8.75,4.04,0.07,3.77,0.82,86
13079,Oat Milk,61,6.39,4.89,4.85,1.44,0.0,7.11,0.17,134
13080,Soy Milk,50,7.98,4.45,9.5,8.11,0.47,3.59,0.33,82
13081,Soy Milk,48,3.92,1.65,2.2,6.51,0.9,7.3,0.79,103
13082,2% Milk,63,3.3,1.24,8.79,8.86,0.47,6.54,0.2,80
13083,Cashew Milk,76,4.11,3.74,1.09,7.8,0.48,1.93,0.03,130
13084,Skim Milk,44,5.25,1.71,6.61,5.57,0.08,5.16,0.49,87
13085,Cashew Milk,77,7.65,3.62,2.54,7.04,0.41,5.2,0.59,108
13086,Coconut Milk,63,7.76,3.81,8.48,9.47,0.02,6.49,0.96,129
13087,Almond Milk,59,2.04,3.55,7.38,0.8,0.21,1.15,0.04,123
13088,Skim Milk,59,5.79,1.38,3.98,2.07,0.25,6.98,0.65,84
13089,Soy Milk,63,5.58,3.78,4.7,6.81,0.96,6.71,0.7,105
13090,Cashew Milk,49,7.78,2.81,1.48,3.82,0.25,1.14,0.2,131
13091,Soy Milk,44,0.56,3.28,7.36,6.79,0.2,7.59,0.69,118
13092,2% Milk,54,7.41,3.76,8.04,3.79,0.65,2.0,0.39,100
13093,Oat Milk,77,6.68,0.43,6.41,0.63,0.81,5.56,0.13,87
13094,Skim Milk,75,4.34,1.95,1.79,4.71,0.9,4.57,0.53,139
13095,Soy Milk,59,2.72,4.74,5.0,8.51,0.66,1.63,0.85,144
13096,Cashew Milk,63,0.62,0.67,5.45,3.48,0.96,2.29,0.28,95
13097,Cashew Milk,44,2.95,3.71,6.08,7.69,0.04,4.0,0.96,113
13098,Oat Milk,59,6.3,4.17,8.82,9.87,0.92,3.69,0.72,106
13099,Coconut Milk,70,4.64,3.71,10.86,1.13,0.1,3.54,0.81,99
13100,Soy Milk,72,5.52,0.4,4.97,3.86,0.99,3.75,0.1,126
13101,Coconut Milk,69,7.1,3.25,9.13,7.92,0.41,5.08,0.42,141
13102,Cashew Milk,60,4.98,1.03,8.91,5.52,0.33,4.4,0.61,133
13103,Soy Milk,73,4.86,4.06,8.89,8.28,0.51,4.67,0.53,113
13104,Coconut Milk,55,2.84,4.53,8.78,2.52,0.86,1.82,0.52,128
13105,Soy Milk,68,2.54,2.03,1.76,3.4,0.5,4.8,0.14,124
13106,Skim Milk,80,0.69,4.63,11.41,6.3,0.34,1.72,0.21,132
13107,Cashew Milk,49,1.66,2.91,7.5,3.53,0.96,5.17,0.46,113
13108,Coconut Milk,59,1.32,0.37,1.31,4.15,0.6,7.56,0.05,137
13109,Cashew Milk,55,1.38,2.63,2.83,1.74,0.71,1.34,0.59,147
13110,Whole Milk,58,5.22,1.99,7.45,5.81,0.55,2.5,0.04,84
13111,Coconut Milk,48,1.16,2.09,10.11,2.82,0.59,7.73,0.48,121
13112,Almond Milk,67,2.92,4.81,5.95,9.64,0.51,7.45,0.72,92
13113,Almond Milk,47,7.72,4.24,3.76,7.49,0.39,6.02,0.95,139
13114,Soy Milk,61,5.36,4.42,2.95,9.15,0.53,5.57,0.79,96
13115,2% Milk,57,3.23,4.37,7.16,5.69,0.65,2.47,0.92,93
13116,Almond Milk,74,5.68,4.58,3.82,1.38,0.1,7.87,0.2,91
13117,Cashew Milk,43,3.8,4.86,7.66,7.76,0.28,2.15,0.04,108
13118,Almond Milk,54,2.46,0.45,8.8,0.93,0.6,3.93,0.28,84
13119,Oat Milk,61,3.02,1.72,5.55,5.76,0.73,4.34,0.21,94
13120,Oat Milk,49,2.44,2.36,5.87,7.62,0.38,5.73,0.56,87
13121,Skim Milk,74,3.31,4.33,4.77,3.66,0.02,2.89,0.3,146
13122,2% Milk,72,7.14,0.12,7.91,3.8,0.16,2.0,0.41,138
13123,Cashew Milk,59,6.8,2.09,6.1,5.8,0.25,5.57,0.73,128
13124,Soy Milk,75,1.53,4.42,10.52,5.47,0.22,1.52,1.0,104
13125,Skim Milk,59,2.93,1.82,4.42,3.63,0.04,5.56,0.58,124
13126,Soy Milk,68,1.66,2.77,7.58,3.74,0.07,2.5,0.04,80
13127,Skim Milk,53,6.36,0.66,11.96,4.64,0.96,5.26,0.51,138
13128,Coconut Milk,59,3.46,3.98,10.37,8.28,0.65,5.44,0.77,150
13129,Whole Milk,55,2.83,0.56,2.41,9.64,0.14,7.39,0.19,130
13130,Oat Milk,50,4.6,2.82,9.31,4.8,0.65,4.26,0.85,132
13131,Skim Milk,48,4.33,2.68,6.28,6.78,0.36,6.07,0.23,103
13132,Oat Milk,60,5.41,1.58,8.3,2.62,0.11,2.31,0.07,114
13133,Coconut Milk,40,5.97,3.97,11.66,2.46,0.53,5.57,0.27,121
13134,Coconut Milk,78,0.69,2.47,7.38,2.0,0.39,2.02,0.58,143
13135,Almond Milk,61,7.89,4.92,2.92,7.85,0.79,5.17,0.6,113
13136,2% Milk,54,1.92,2.61,3.4,3.54,0.61,7.99,0.34,125
13137,Whole Milk,44,2.95,2.94,4.29,2.85,0.59,5.61,0.44,88
13138,Skim Milk,40,6.52,3.82,1.11,6.27,0.37,6.47,0.47,110
